id,study,input,backend,sink,workers,codec,chunk,block_bytes,compression_fold,observations,throughput_median,throughput_min,throughput_max,speedup_median,speedup_min,speedup_max
reef-l40-microscopy-workers-3708541:e8b71dc55d81b8ec,reef-l40-microscopy-workers-3708541,opencell-dna,gpu,fs,4,blosc-zstd,256K,65536,1.4932727746005718,3,3.2393344519562204,3.2071074779417303,3.2579427120162,,,
reef-l40-microscopy-workers-3708541:59ad5107952dee4b,reef-l40-microscopy-workers-3708541,bbbc010-brightfield,gpu,fs,4,zstd,64K,,11.152449507908168,3,9.443600719688902,9.3434582482883,9.956012241380352,,,
reef-l40-microscopy-workers-3708541:5ac57c31c0958297,reef-l40-microscopy-workers-3708541,bbbc010-brightfield,gpu,discard,4,zstd,64K,,11.152449507908168,3,10.110689091187115,10.037833849873493,10.22921133491718,,,
reef-l40-microscopy-workers-3708541:7c2f6f6a3bbbfa28,reef-l40-microscopy-workers-3708541,bbbc010-brightfield,gpu,fs,4,blosc-zstd,64K,65536,13.240394734826193,3,13.19704755499597,12.492342115542922,13.405072097833104,,,
reef-l40-microscopy-workers-3708541:b4dce24d92e5e7e9,reef-l40-microscopy-workers-3708541,bbbc010-brightfield,gpu,discard,4,blosc-zstd,64K,65536,13.23700714068845,3,13.718771456191554,13.64193661065036,13.769326673910216,,,
reef-l40-microscopy-workers-3708541:c009b53c5095fe82,reef-l40-microscopy-workers-3708541,bbbc010-brightfield,gpu,discard,4,blosc-lz4,16K,4096,2.0035596449772757,3,18.381178450481126,16.1940778570085,18.94007492442522,,,
reef-l40-microscopy-workers-3708541:e5f6c40ac1a472e7,reef-l40-microscopy-workers-3708541,bbbc010-brightfield,gpu,fs,4,blosc-lz4,16K,4096,2.002948086976584,3,7.67233651488472,6.463470455839365,9.072353177850085,,,
reef-l40-microscopy-workers-3708541:0567b363fd61aaa6,reef-l40-microscopy-workers-3708541,dynacell-a549-phase,gpu,fs,4,blosc-lz4,256K,262144,4.159926368490792,3,8.154931250318475,8.0299205701224,8.216460402618596,,,
reef-l40-microscopy-workers-3708541:301032c0dbc46eb5,reef-l40-microscopy-workers-3708541,dynacell-a549-phase,gpu,discard,4,blosc-lz4,16K,4096,1.113796561697031,3,16.990873284305756,16.25850744934653,17.08212465654194,,,
reef-l40-microscopy-workers-3708541:8c639795ed4a1e9e,reef-l40-microscopy-workers-3708541,dynacell-a549-phase,gpu,fs,4,blosc-lz4,16K,4096,1.1134946889834403,3,3.8871843442132104,3.6333545227269273,4.77873625701341,,,
reef-l40-microscopy-workers-3708541:8f08d64df2ddae4a,reef-l40-microscopy-workers-3708541,dynacell-a549-phase,gpu,discard,4,blosc-lz4,256K,262144,4.159926368490792,3,8.50358793774044,8.499680464359374,8.504464110469792,,,
reef-l40-microscopy-workers-3708541:8f18dae4273e12c0,reef-l40-microscopy-workers-3708541,dynacell-a549-phase,gpu,discard,4,blosc-zstd,128K,131072,4.587136249816267,3,11.858214201465092,11.464207024871314,11.908968488044675,,,
reef-l40-microscopy-workers-3708541:ac942a7e7166359d,reef-l40-microscopy-workers-3708541,dynacell-a549-phase,gpu,fs,4,blosc-zstd,128K,131072,4.5874639609470975,3,10.697668281600667,10.417019339421477,10.896100997484364,,,
